Hidropatia Total,Hidropatia Media,Hidropatia C-Terminal,Carga C-Terminal,Aminoacidos Basicos C-Terminal,Dupla Helice,Sinal Nuclear,Sinal Mitocondrial,Dominio Prenilacao,c#CLASSE
-44.7,-0.13,-28.4,2,4,1,0,0,0,0
-147.9,-0.44,21.9,-1,1,1,0,0,0,0
-253.2,-0.3,-23.0,0,5,1,0,0,0,0
189.8,0.32,-35.8,0,2,1,0,0,0,0
-232.9,-0.34,-25.8,0,4,1,0,0,0,0
-636.3,-0.44,-43.0,2,9,1,0,0,0,0
-75.9,-0.08,-27.0,0,3,1,0,1,0,0
-33.2,-0.12,8.9,0,2,1,0,0,0,0
-1.2,-0.01,-8.8,8,9,0,0,1,0,0
-72.2,-0.64,-23.6,6,6,1,0,0,0,0
67.3,0.24,6.5,0,2,1,0,0,0,0
-14.7,-0.06,8.3,0,3,0,0,0,0,0
-73.3,-0.22,-26.4,-4,3,1,0,1,0,0
-241.5,-0.21,-2.4,4,4,1,0,0,0,0
-62.4,-0.17,-27.7,8,9,1,0,0,0,0
-45.7,-0.14,8.5,0,3,1,0,0,0,0
-4.6,-0.01,-19.1,-3,2,1,0,0,0,0
-92.2,-0.33,-11.8,3,4,1,0,0,0,0
16.3,0.11,-6.8,-3,3,0,0,1,0,0
-24.4,-0.06,14.4,-1,3,1,0,1,0,0
14.9,0.08,-17.4,1,5,1,0,1,0,0
-125.6,-0.38,-28.8,-3,3,1,0,0,0,0
-54.7,-0.23,-5.9,2,4,1,0,0,0,0
-104.2,-0.25,-10.3,-1,4,1,0,1,0,0
-40.8,-0.06,19.2,-1,2,1,0,1,0,0
-60.1,-0.04,-11.9,0,5,1,0,0,0,0
-51.8,-0.16,-11.7,1,5,1,0,0,0,0
-69.6,-0.19,-19.5,-2,2,1,0,1,0,0
-3.2,-0.02,-8.2,-1,4,0,0,0,0,0
-30.9,-0.1,-9.6,4,6,1,0,0,0,0
350.3,0.34,22.4,3,3,1,0,1,0,0
-66.0,-0.13,0.7,0,4,1,0,1,0,0
-105.1,-0.18,-3.8,5,6,1,0,0,0,0
-38.2,-0.2,-28.7,-2,3,1,0,0,0,0
-9.1,-0.07,-31.8,1,6,1,0,0,0,0
-17.1,-0.1,24.0,4,4,0,0,1,0,0
174.0,1.11,30.1,3,3,0,0,0,1,0
-54.0,-0.08,-11.9,-1,2,1,0,0,0,0
-66.3,-0.41,-29.7,4,7,1,0,1,0,0
